t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,ah_accum_chg,wh_accum_chg,soc_gt_chg,soc_est_chg,phase_chg,t_rem_true_min,i_mean_60s,t_rem_min_chg_raw,t_rem_min_chg
4802674,3.54756,3.6974,3.5417,49.349,0.4934599999999999,CHG,29.19022,4802.674,2.6710000000002765,1.7505785080000005,0.6424933749986114,2.1719053913249486,0.1809848733432085,0.1946949621207913,CHG,414.0681,0.4931183333333333,414.5172986108892,414.5172986108892
4805345,3.54732,3.6927,3.5407,49.3954,0.4934,CHG,29.20292,4805.345,2.6710000000002765,1.7502471700000002,0.6428594503875003,2.173203977873462,0.1810879936405847,0.1948058940568182,CHG,414.0235833333333,0.493116,414.47256799411343,414.47256799411343
4808016,3.54854,3.6982,3.5507,49.3224,0.49338,CHG,29.2178,4808.016,2.670999999999367,1.750777978,0.6432255109375002,2.1745029583775586,0.1811911097579732,0.1949168214962122,CHG,413.97906666666665,0.4931123333333333,414.4278366008898,414.4278366008898
4810687,3.54936,3.7015,3.5508,49.3101,0.4932,CHG,29.25488,4810.687,2.6710000000002765,1.75054407,0.6435914379375003,2.175801765034279,0.1812941882554722,0.1950277084659092,CHG,413.93455,0.493107,414.38310264069696,414.38310264069696
4813358,3.5516,3.7109,3.5641,49.3332,0.49314,CHG,29.24946,4813.358,2.6710000000002765,1.751437094,0.6439573204208335,2.1771012332620856,0.1813972542130078,0.1951385819457071,CHG,413.8900333333333,0.49310366666666666,414.3383657145064,414.3383657145064
4816029,3.5517200000000004,3.6899,3.5507,49.255,0.49314,CHG,29.27416,4816.029,2.6710000000002765,1.751496278,0.6443232029041669,2.1784007453957908,0.1815003201705436,0.1952494554255051,CHG,413.8455166666666,0.49310066666666663,414.2936265987659,414.2936265987659
4818700,3.5505400000000003,3.7118,3.5532,49.3631,0.4934200000000001,CHG,29.30348,4818.7,2.670999999999367,1.751906404,0.6446892931319446,2.179700563393125,0.1816034446479075,0.195360391858165,CHG,413.801,0.4931123333333333,414.2488845352494,414.2488845352494
4821371,3.54908,3.7014,3.5555,49.3251,0.49358,CHG,29.263060000000003,4821.371,2.6710000000002765,1.751754138,0.6450555020708335,2.1810002682139564,0.1817066025651734,0.1954713642638889,CHG,413.7564833333333,0.4931313333333333,414.2041377766484,414.2041377766484
4824042,3.5495000000000005,3.6873,3.5374,49.4561,0.4937999999999999,CHG,29.24234,4824.042,2.6710000000002765,1.752741834,0.6454218742375002,2.18230070621954,0.1818098064623043,0.1955823861325758,CHG,413.7119666666666,0.493159,414.15938640741143,414.15938640741143
4826714,3.5476600000000005,3.6978,3.5551,49.4116,0.49386,CHG,29.19914,4826.714,2.6719999999995707,1.75204637,0.6457884281041668,2.183601114710158,0.1819130615427668,0.1956934630618687,CHG,413.6674333333333,0.49318466666666666,414.11462988675294,414.11462988675294
