t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,soc_est,v_pred,v_resid,r_used_ohm,i_mean_60s,t_rem_min_dis
7256958,3.80954,3.8195,3.8012,50.4661,0.4991999999999997,DISCH,49.63746,7255.944,0.9950000000008004,1.9017228620000004,0.7159877599772934,3.808747319736804,0.0007926802631961,0.06,0.5002373333333331,283.3966340153957
7257950,3.80948,3.8239,3.7955,49.542,0.4983799999999997,DISCH,49.63776,7256.936,0.9919999999992796,1.8985689000000003,0.715968081072967,3.80876765818268,0.0007123418173202,0.06,0.5001236666666664,283.45325266706874
7258951,3.80988,3.8229,3.795,49.3859,0.4995399999999998,DISCH,49.643,7257.937,1.0010000000002035,1.9031890480000009,0.7159634294208644,3.808664249053375,0.0012157509466255,0.06,0.5000346666666664,283.50186192156923
7259954,3.80962,3.8193,3.7996,49.9458,0.4978599999999997,DISCH,49.64154,7258.94,1.0029999999997017,1.8966586540000008,0.7159479619429073,3.8087573426646553,0.0008626573353445,0.06,0.4999396666666664,283.5496079154132
7260967,3.80954,3.8217,3.7983,50.4753,0.4997999999999997,DISCH,49.64742,7259.953,1.0130000000008297,1.9040097660000008,0.7159338601487308,3.8086140151194408,0.0009259848805593,0.06,0.49990566666666647,283.5633075629244
7261962,3.81056,3.8207,3.8,49.5775,0.4997999999999998,DISCH,49.66944,7260.948,0.9949999999998907,1.9045148700000003,0.7159526160394943,3.8085916293872266,0.0019683706127735,0.06,0.4999059999999998,283.5705472145162
7262971,3.811,3.8206,3.7977,50.0522,0.5013599999999998,DISCH,49.67714,7261.957,1.0090000000000146,1.9106801340000004,0.7159861510818417,3.808528282505182,0.0024717174948181,0.06,0.4999309999999998,283.56964843989414
7263967,3.81118,3.8201,3.7943,49.5075,0.5000199999999998,DISCH,49.67534,7262.953,0.9960000000000946,1.9056642600000009,0.7160216477395369,3.808666047077702,0.0025139529222979,0.06,0.4999556666666664,283.5697156863142
7264958,3.81174,3.8209,3.7981,50.4276,0.5003999999999997,DISCH,49.69144,7263.944,0.9909999999999854,1.9073907840000008,0.7160734275761186,3.8087030933651698,0.0030369066348301,0.06,0.4999856666666664,283.57320641872707
7265970,3.81088,3.8182,3.7959,49.8777,0.4982199999999998,DISCH,49.692,7264.956,1.0119999999997162,1.8986621340000007,0.7160913579283067,3.808919582872724,0.0019604171272762,0.06,0.49998533333333306,283.58049610082855
7266968,3.80906,3.8181,3.7979,49.8917,0.4988999999999997,DISCH,49.6936,7265.954,0.9979999999995924,1.9003484060000004,0.7160540739217827,3.808909750530696,0.0001502494693044,0.06,0.5000029999999998,283.5557119387544
7267973,3.80814,3.8206,3.7972,49.1906,0.4981599999999997,DISCH,49.68582,7266.959,1.0050000000001091,1.8970662940000007,0.7159887977473929,3.808891217660938,-0.0007512176609387,0.06,0.5000143333333331,283.52343623612893
7268972,3.80746,3.8206,3.8,49.8179,0.4992999999999997,DISCH,49.67694,7267.958,0.9989999999997964,1.9010674580000009,0.7159082070906878,3.808713576667672,-0.001253576667672,0.06,0.5000223333333331,283.4869875891335
7269957,3.80712,3.819,3.7974,50.0927,0.4991799999999998,DISCH,49.66214,7268.943,0.985000000000582,1.9004407900000009,0.7158216550774,3.8085865877902254,-0.0014665877902255,0.06,0.5000196666666664,283.4542262110862
7270959,3.8079,3.8219,3.7983,50.4256,0.5010599999999997,DISCH,49.64564,7269.945,1.001999999999498,1.9079863920000004,0.7157662404112285,3.808327130582021,-0.0004271305820213,0.06,0.5000236666666664,283.4300155154455
7271958,3.80888,3.8225,3.798,49.8964,0.5015399999999998,DISCH,49.63776,7270.944,0.9990000000007058,1.9103038680000004,0.7157448362905623,3.808205515790689,0.0006744842093109,0.06,0.49998766666666644,283.4419467390823
