t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,soc_est,v_pred,v_resid,r_used_ohm
3865720,3.80584,3.8167,3.7943,300.1321,3.00206,DISCH,51.01016,3864.706,1.0080000000002656,11.425357196000002,0.8077471655122278,3.801273733364842,0.004566266635158023,0.06
3866727,3.81968,3.8165,3.7955,299.8701,2.50224,DISCH,51.00218,3865.713,1.0070000000000618,9.528493264000002,0.8071805466466444,3.8311595094687894,-0.011479509468789395,0.06
3867729,3.834940000000001,3.8139,3.7964,300.7165,1.99994,DISCH,50.994960000000006,3866.715,1.0019999999999527,7.624512268000001,0.8062225473395479,3.8605369093341677,-0.025596909334166806,0.06
3868732,3.85022,3.8928,3.8704,50.3948,1.5002,DISCH,50.986540000000005,3867.718,1.0029999999997017,5.7298664320000015,0.8048939626555315,3.8891899391057656,-0.038969939105765405,0.06
3869729,3.8652,3.8932,3.8719,49.2009,0.9989199999999998,DISCH,50.97732,3868.715,0.9970000000002984,3.829761442000001,0.8031999387499759,3.917397890241842,-0.05219789024184163,0.06
3870728,3.88126,3.892,3.8723,50.094,0.4976199999999998,DISCH,50.97282,3869.714,0.9989999999997964,1.9313928540000007,0.8011892327763135,3.9450746550976707,-0.06381465509767059,0.06
3871722,3.88128,3.8912,3.872,49.1741,0.4962799999999998,DISCH,50.9639,3870.708,0.994000000000142,1.9262059760000008,0.7992360085969252,3.942196116596539,-0.06091611659653928,0.06
3872716,3.88152,3.8949,3.8715,50.0817,0.4986399999999998,DISCH,50.96124,3871.702,0.994000000000142,1.935488152000001,0.7973878872441041,3.9391619943708314,-0.057641994370831284,0.06
3873711,3.881860000000001,3.8901,3.8705,49.4272,0.4982799999999998,DISCH,50.98238,3872.697,0.9949999999998907,1.9342602040000003,0.7956334817787162,3.936446356236399,-0.05458635623639818,0.06
3874711,3.88222,3.8929,3.8724,50.4286,0.5013799999999998,DISCH,50.9998,3873.697,1.0,1.9464711060000008,0.7939797467966883,3.933654741054135,-0.05143474105413537,0.06
3875700,3.88216,3.8953,3.8728,49.9207,0.5021199999999999,DISCH,51.00592,3874.686,0.9890000000000329,1.9493144700000005,0.7924047951577815,3.931155496631046,-0.04899549663104619,0.06
3876701,3.88276,3.8914,3.8698,50.7272,0.5038799999999999,DISCH,51.02104,3875.687,1.000999999999749,1.9564428580000004,0.7909197725460005,3.9287094529546605,-0.04594945295466024,0.06
3877686,3.8817,3.8942,3.8722,50.3419,0.5027399999999999,DISCH,51.00882,3876.672,0.9850000000001272,1.9514872980000009,0.7894716962876186,3.9265632293903168,-0.04486322939031684,0.06
3878688,3.88128,3.896,3.8726,50.4522,0.5022199999999998,DISCH,51.0075,3877.674,1.0019999999999527,1.9492584300000004,0.7880783754018482,3.9244327712797222,-0.04315277127972239,0.06
3879702,3.8809999999999993,3.8919,3.8731,50.0134,0.5014799999999997,DISCH,51.018460000000005,3878.688,1.0140000000001237,1.9462448440000009,0.7867411386153297,3.922397558032677,-0.04139755803267775,0.06
3880701,3.88072,3.8895,3.8722,49.7384,0.5002399999999998,DISCH,51.01216,3879.687,0.9989999999997964,1.9412908320000009,0.7854554718617919,3.9204757934380865,-0.03975579343808633,0.06
3881699,3.88106,3.8935,3.8742,50.2271,0.4987799999999998,DISCH,51.01654,3880.685,0.9980000000000472,1.9357931140000004,0.7842393169718849,3.918642113184069,-0.03758211318406879,0.06
3882705,3.88154,3.8946,3.8687,49.6659,0.4986799999999998,DISCH,51.01968,3881.691,1.005999999999858,1.9356446240000007,0.7830956061485718,3.9168299881006368,-0.03528998810063655,0.06
3883696,3.88122,3.8905,3.8724,49.612,0.5014999999999998,DISCH,50.997,3882.682,0.9909999999999854,1.9464299400000005,0.7820019202615988,3.9149520149850456,-0.033732014985045744,0.06
3884691,3.88126,3.8918,3.8688,49.7821,0.5005399999999999,DISCH,50.97588,3883.677,0.9950000000003456,1.942724608000001,0.7809434267494082,3.9133601905104447,-0.03210019051044455,0.06
3885686,3.88116,3.8961,3.8702,50.991,0.4996999999999998,DISCH,50.96536,3884.672,0.9949999999998907,1.9394148480000009,0.7799335174005587,3.911799892615525,-0.03063989261552491,0.06
3886676,3.8812,3.8915,3.8719,50.0663,0.5009599999999998,DISCH,50.96116000000001,3885.662,0.9899999999997816,1.9443275600000007,0.7789778621490654,3.9101875828184793,-0.02898758281847913,0.06
3887676,3.88172,3.8933,3.871,49.4634,0.5006199999999998,DISCH,50.9471,3886.662,1.0,1.9432666620000003,0.7780850784607033,3.9087530779474253,-0.027033077947425266,0.06
3888672,3.8817,3.8931,3.8707,50.1048,0.4986199999999998,DISCH,50.9771,3887.658,0.9960000000000946,1.9354946360000007,0.7772323843723593,3.907514960240353,-0.025814960240353013,0.06
3889677,3.88238,3.8955,3.8705,49.6822,0.5005399999999998,DISCH,50.96522,3888.663,1.0050000000001091,1.9432912240000009,0.7764469863244248,3.9061019513897053,-0.023721951389705342,0.06
3890684,3.88282,3.8918,3.8697,50.1728,0.5009799999999999,DISCH,50.96662,3889.67,1.0070000000000618,1.9452167520000008,0.7757143881788582,3.904881763661724,-0.022061763661723965,0.06
3891684,3.8821,3.8939,3.8724,50.8669,0.4994199999999997,DISCH,50.96372,3890.67,1.0,1.9388022000000007,0.7749923954053041,3.9038626511210603,-0.02176265112106046,0.06
3892677,3.88194,3.8977,3.8715,49.7672,0.5009999999999998,DISCH,50.95848,3891.663,0.9929999999999382,1.9448561140000007,0.7743035129142081,3.9026708543526234,-0.02073085435262323,0.06
3893680,3.88202,3.8939,3.8708,49.5168,0.4997999999999998,DISCH,50.94888,3892.666,1.0030000000001564,1.9402386580000008,0.7736478611337843,3.901695443253532,-0.019675443253531988,0.06
3894680,3.88124,3.8934,3.8704,50.4594,0.4974999999999999,DISCH,50.94644,3893.666,1.0,1.9309177240000008,0.7729955122567209,3.900837507253825,-0.01959750725382481,0.06
3895678,3.88124,3.8932,3.8714,49.5529,0.4968399999999998,DISCH,50.94572,3894.664,0.9980000000000472,1.9283548120000007,0.7723734227486548,3.8998859163274333,-0.018645916327433287,0.06
3896667,3.88154,3.8921,3.8714,49.5031,0.4969399999999998,DISCH,50.93506,3895.653,0.988999999999578,1.9288915720000008,0.7717850641564225,3.8989318891204765,-0.01739188912047629,0.06
3897667,3.8812,3.8916,3.8721,48.929,0.4962199999999998,DISCH,50.95042,3896.653,1.0,1.9259262300000008,0.771213671985393,3.8980692134739483,-0.016869213473948097,0.06
3898670,3.8814,3.8951,3.8728,49.6912,0.4967599999999998,DISCH,50.93896,3897.656,1.0030000000001564,1.9281217320000008,0.7706778000365184,3.8971573944872895,-0.0157573944872893,0.06
3899673,3.88122,3.8928,3.8715,50.1584,0.4971399999999998,DISCH,50.955,3898.659,1.0030000000001564,1.9295064420000003,0.77016349561252,3.8963100412491056,-0.015090041249105735,0.06
3900675,3.8809200000000006,3.8919,3.8714,49.9669,0.4995199999999998,DISCH,50.95098,3899.661,1.0019999999999527,1.938597318000001,0.7696694793317717,3.895375677149701,-0.014455677149700197,0.06
3901674,3.88056,3.889,3.8691,49.8059,0.4988799999999999,DISCH,50.9483,3900.66,0.9989999999997964,1.9359360060000008,0.7691874632647957,3.8946542501771346,-0.014094250177134615,0.06
3902670,3.8812,3.8931,3.8711,50.4249,0.4987399999999998,DISCH,50.96142,3901.656,0.9960000000000946,1.9357130340000008,0.7687488819929361,3.8939212219913295,-0.012721221991329301,0.06
3903673,3.88122,3.8922,3.8718,49.1744,0.5000399999999998,DISCH,50.9611,3902.659,1.0030000000001564,1.9407701140000009,0.7683343834872195,3.8931677905743696,-0.011947790574369677,0.06
3904667,3.88174,3.8928,3.8734,49.8282,0.4998199999999998,DISCH,50.9443,3903.653,0.9939999999996872,1.9401754200000003,0.7679562243513043,3.8925438456165407,-0.010803845616540464,0.06
3905673,3.88154,3.8918,3.8728,50.4299,0.4991599999999998,DISCH,50.94978,3904.659,1.0060000000003129,1.9375133980000008,0.7675885538046906,3.8920009111895872,-0.01046091118958703,0.06
3906670,3.88178,3.892,3.8713,49.7869,0.4993999999999998,DISCH,50.97496,3905.656,0.9969999999998436,1.9385629900000003,0.7672464723666148,3.891421356378875,-0.009641356378875088,0.06
3907660,3.88176,3.8913,3.8717,50.059,0.4988399999999998,DISCH,50.974,3906.646,0.9900000000002364,1.9363783340000005,0.7669185058140495,3.890926126885607,-0.009166126885606918,0.06
3908654,3.88164,3.892,3.8714,49.5288,0.4954799999999998,DISCH,50.96556,3907.64,0.9939999999996872,1.9232749460000007,0.7665967964803708,3.890619929168641,-0.00897992916864121,0.06
3909650,3.88152,3.8942,3.8669,49.7134,0.4955399999999998,DISCH,50.99106,3908.636,0.9960000000000946,1.9234481120000004,0.7662872039708062,3.8901179107090456,-0.008597910709045475,0.06
3910644,3.88234,3.8938,3.8699,48.813,0.4923199999999997,DISCH,51.00426,3909.63,0.994000000000142,1.9113494660000008,0.7660126608904307,3.8898321429555187,-0.007492142955518588,0.06
3911639,3.88254,3.8945,3.8687,49.7075,0.4931999999999998,DISCH,50.97768,3910.625,0.9949999999998907,1.914863986000001,0.7657593101022491,3.8893539368812555,-0.006813936881255422,0.06
3912635,3.8827,3.8937,3.8697,48.5024,0.4931199999999998,DISCH,50.96256,3911.621,0.9960000000000946,1.914632874000001,0.7655231203919386,3.8889662790485464,-0.006266279048546597,0.06
3913645,3.88258,3.8948,3.8735,49.9532,0.4965599999999998,DISCH,50.97534,3912.631,1.0099999999997635,1.9279256780000007,0.7653002897286922,3.8883927021259526,-0.00581270212595264,0.06
3914646,3.8825,3.89,3.8716,49.62,0.4958399999999998,DISCH,50.96282,3913.632,1.0010000000002035,1.9250915980000003,0.7650848831689181,3.88809144610384,-0.005591446103839992,0.06
3915647,3.8821400000000006,3.8908,3.8683,50.629,0.4986199999999998,DISCH,50.94386,3914.633,1.000999999999749,1.9357119540000007,0.764873713624834,3.887590649529204,-0.0054506495292034884,0.06
3916644,3.882120000000001,3.8942,3.872,49.567,0.4986799999999998,DISCH,50.94116,3915.63,0.9970000000002984,1.935934870000001,0.764672425286855,3.8872602305189567,-0.005140230518955846,0.06
3917650,3.88148,3.8904,3.8691,49.8033,0.4973599999999997,DISCH,50.957620000000006,3916.636,1.005999999999858,1.9304938740000008,0.7644583290029807,3.8870272518324516,-0.0055472518324517495,0.06
3918661,3.88078,3.8933,3.8698,49.7394,0.4968599999999998,DISCH,50.95698,3917.647,1.0109999999999673,1.9282015940000008,0.7642318031407008,3.8867253891796993,-0.005945389179699223,0.06
